# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	7177
#@/user_id	c5dd1731-b25f-4cc2-84c6-bf1978ff09b8
a 	啊	c=3 d=0.0209629 t=7177
dui 	對	c=8 d=9.39555e-06 t=7177
dui bi du 	對比度	c=2 d=2.19082e-08 t=7177
dui bu qi 	對不起	c=1 d=7.28276e-06 t=7177
dui hua 	對話	c=1 d=2.76933e-13 t=7177
dui ma 	對嗎	c=1 d=7.28896e-16 t=7177
dui ni 	對你	c=1 d=8.89973e-12 t=7177
dui wo 	對我	c=1 d=4.99499e-11 t=7177
dui yu 	對於	c=3 d=0.000848827 t=7177
dui zhan 	對戰	c=2 d=3.99887e-08 t=7177
duo 	多	c=19 d=2.06701 t=7177
duo chang 	多長	c=1 d=2.37784e-14 t=7177
duo chong 	多重	c=1 d=1.93611e-08 t=7177
duo duo 	多多	c=2 d=1.68176e-05 t=7177
duo ge 	多個	c=4 d=4.66777e-08 t=7177
duo ping mu 	多屏幕	c=2 d=1.74348e-10 t=7177
duo ren 	多人	c=2 d=4.56305e-11 t=7177
duo shao 	多少	c=16 d=8.33281e-10 t=7177
duo shu 	多數	c=1 d=9.50066e-16 t=7177
duo xiang 	多項	c=1 d=4.91812e-05 t=7177
duo xuan 	多選	c=1 d=4.57768e-14 t=7177
duo yu 	多餘	c=1 d=0.00708341 t=7177
e 	餓	c=1 d=2.48317e-11 t=7177
e 	鵝	c=2 d=6.91673e-08 t=7177
e dong hua 	餓動畫	c=1 d=2.48644e-10 t=7177
e jun 	俄軍	c=1 d=1.54628e-10 t=7177
e luo si 	俄羅斯	c=5 d=0.0676702 t=7177
e o 	呃喔	c=1 d=6.9144e-13 t=7177
e wai 	額外	c=1 d=1.64956e-06 t=7177
e yu 	俄語	c=1 d=1.59337e-10 t=7177
en 	嗯	c=1 d=2.64702e-11 t=7177
en 	恩	c=3 d=2.1926e-10 t=7177
er 	二	c=4 d=0.00296802 t=7177
er cheng 	而成	c=1 d=4.59906e-10 t=7177
er ci 	二次	c=1 d=1.62949e-09 t=7177
er qie 	而且	c=3 d=1.26561e-06 t=7177
er you 	而又	c=2 d=0.00125077 t=7177
er zi 	兒子	c=1 d=5.68941e-13 t=7177
fa 	法	c=4 d=0.0844146 t=7177
fa 	發	c=5 d=0.201648 t=7177
fa bu hui 	發佈會	c=1 d=0.0185924 t=7177
fa chou 	發臭	c=1 d=7.47349e-16 t=7177
fa huo 	發貨	c=1 d=0.10435 t=7177
fa ju 	法句	c=5 d=0.241453 t=7177
fa ju jing 	法句經	c=3 d=0.249078 t=7177
fa sheng 	發生	c=3 d=1.46719e-09 t=7177
fa xian 	發現	c=4 d=5.69778e-06 t=7177
fan 	反	c=1 d=2.00958e-05 t=7177
fan che 	翻車	c=2 d=1.78798e-05 t=7177
fan fu 	反腐	c=2 d=0.904556 t=7177
fan kang 	反抗	c=3 d=7.81245e-13 t=7177
fan kui 	反饋	c=2 d=3.75567e-09 t=7177
fan qie 	反切	c=5 d=0.000104387 t=7177
fan ren 	煩人	c=1 d=4.35146e-06 t=7177
fan ren 	犯人	c=1 d=4.30816e-06 t=7177
fan rong 	繁榮	c=1 d=4.28667e-06 t=7177
fan shen 	反身	c=1 d=5.5222e-15 t=7177
fan ti 	繁體	c=7 d=0.346021 t=7177
fan wei 	範圍	c=1 d=4.19308e-11 t=7177
fan xiang 	反向	c=1 d=6.50952e-09 t=7177
fan yi 	翻譯	c=28 d=0.287972 t=7177
fan yi cheng 	翻譯成	c=4 d=2.93832e-14 t=7177
fan yi cheng ying wen 	翻譯成英文	c=3 d=1.39771e-14 t=7177
fan yi cheng zhong wen 	翻譯成中文	c=1 d=4.2579e-15 t=7177
fan yi qu 	翻譯去	c=1 d=2.96095e-06 t=7177
fang 	房	c=3 d=0.0342429 t=7177
fang bian 	方便	c=1 d=7.75444e-09 t=7177
fang cao 	芳草	c=2 d=5.49896e-16 t=7177
fang fa 	方法	c=2 d=0.040763 t=7177
fang kong 	防空	c=1 d=2.0772e-12 t=7177
fang kuai 	方塊	c=2 d=0.0121388 t=7177
fang qi 	放棄	c=1 d=0.0206508 t=7177
fang shi 	方式	c=1 d=1.83312e-12 t=7177
fang wen 	訪問	c=3 d=4.26045e-08 t=7177
fang wu 	防務	c=4 d=2.52926e-10 t=7177
fang zai 	放在	c=1 d=4.74073e-14 t=7177
fei 	肺	c=2 d=1.66725 t=7177
fei 	菲	c=4 d=0.00165327 t=7177
fei 	費	c=2 d=0.803313 t=7177
fei ai 	肺癌	c=5 d=4.27852 t=7177
fei chang 	非常	c=13 d=0.00168111 t=7177
fei hua 	廢話	c=1 d=0.66034 t=7177
fei ji 	飛機	c=1 d=0.000105163 t=7177
fei man 	費曼	c=2 d=8.9957e-12 t=7177
fei yan 	肺炎	c=1 d=5.3998e-16 t=7177
fen 	分	c=1 d=5.42502e-12 t=7177
fen cheng 	分成	c=1 d=1.88799e-06 t=7177
fen ci 	分詞	c=2 d=2.94227e-12 t=7177
fen lie 	分裂	c=1 d=1.85988e-06 t=7177
fen qing 	憤青	c=5 d=1.21629 t=7177
fen shua 	粉刷	c=1 d=0.00033379 t=7177
feng 	封	c=1 d=5.22401e-09 t=7177
feng bi 	封閉	c=1 d=5.71404e-05 t=7177
feng kuang 	瘋狂	c=1 d=0.00414854 t=7177
fo fa 	佛法	c=1 d=2.83163e-10 t=7177
fo jiao 	佛教	c=2 d=1.89042e-12 t=7177
